"DATE","PRCP","TEMP","TMIN","TMAX","WIND"
1999-10-01,0.20050881021,4.8374308832,-0.1625691168,9.8374308832,6.0371164496
1999-10-02,0.2671305678,18.6758184526,13.6758184526,23.6758184526,6.8822270848
1999-10-03,0.78816257622,18.1725879852,13.1725879852,23.1725879852,4.0431464401
1999-10-04,0.33347603331,38.5055892356,33.5055892356,43.5055892356,6.6191993335
1999-10-05,0.56415567672,20.7584081776,15.7584081776,25.7584081776,3.6501733791
1999-10-06,0.12736117611,5.8886731975,0.8886731975,10.8886731975,5.9045447696
1999-10-07,0.09177799221,25.3801947553,20.3801947553,30.3801947553,6.0148124695
1999-10-08,0.19121022423,31.1754510179,26.1754510179,36.1754510179,4.0899039777
1999-10-09,0.06385596588,24.4512816798,19.4512816798,29.4512816798,5.1748153702
1999-10-10,0.07482776715,35.6426340062,30.6426340062,40.6426340062,4.8644748733
1999-10-11,0.42032561148,4.7851836402,-0.2148163598,9.7851836402,3.6430960249
1999-10-12,0.34774768863,36.1975521874,31.1975521874,41.1975521874,4.1173878505
1999-10-13,0.25667208756,38.6391753238,33.6391753238,43.6391753238,6.7829184148
1999-10-14,0.79974604062,6.8054438103,1.8054438103,11.8054438103,6.6874050437
1999-10-15,0.86552878554,34.2252886388,29.2252886388,39.2252886388,3.2505631873
1999-10-16,0.87188686209,17.8617640492,12.8617640492,22.8617640492,5.2921131831
1999-10-17,0.84702697794,28.2270281762,23.2270281762,33.2270281762,7.9508816481
1999-10-18,0.03872546928,27.6739928499,22.6739928499,32.6739928499,3.1555130759
1999-10-19,0.79867874745,24.7609217465,19.7609217465,29.7609217465,3.7742499502
1999-10-20,0.45949232997,26.8407477159,21.8407477159,31.8407477159,5.0288555138
1999-10-21,0.86539305213,2.6781315263,-2.3218684737,7.6781315263,7.8905506323
1999-10-22,0.88878575385,34.2320357915,29.2320357915,39.2320357915,3.4638927116
1999-10-23,0.15190308081,27.6852721255,22.6852721255,32.6852721255,5.1654357796
1999-10-24,0.32108970672,0.7546237484,-4.2453762516,5.7546237484,5.6279073802
1999-10-25,0.46647115155,31.7761104461,26.7761104461,36.7761104461,4.0143211682
1999-10-26,0.00681339429,12.219802551,7.219802551,17.219802551,7.5808876306
1999-10-27,0.36997460676,15.5677776318,10.5677776318,20.5677776318,7.5983632165
1999-10-28,0.72774528489,33.9384741802,28.9384741802,38.9384741802,5.4920677696
1999-10-29,0.34960975569,0.7480387576,-4.2519612424,5.7480387576,6.9898762305
1999-10-30,0.74209485375,3.1610733457,-1.8389266543,8.1610733457,3.7620795467
1999-10-31,0.71584161462,33.4722444694,28.4722444694,38.4722444694,6.1660388573
1999-11-01,0.11066026212,1.5513325389,-3.4486674611,6.5513325389,5.4692805321
1999-11-02,0.71493467265,33.8854486775,28.8854486775,38.8854486775,3.2794695133
1999-11-03,0.18977866263,17.218121374,12.218121374,22.218121374,4.5594940365
1999-11-04,0.11141527338,25.4629781842,20.4629781842,30.4629781842,6.389592017
1999-11-05,0.85375715814,31.7967571039,26.7967571039,36.7967571039,7.0931140806
1999-11-06,0.06288143031,26.5561019629,21.5561019629,31.5561019629,6.0758565769
1999-11-07,0.33371828964,25.5436401069,20.5436401069,30.5436401069,4.4116760134
1999-11-08,0.05724624429,13.1638123374,8.1638123374,18.1638123374,5.9132498545
1999-11-09,0.66474843039,33.9590094145,28.9590094145,38.9590094145,6.031172317
1999-11-10,0.06712919568,3.2730923127,-1.7269076873,8.2730923127,5.0594949683
1999-11-11,0.11731307652,1.4926796779,-3.5073203221,6.4926796779,3.0937210978
1999-11-12,0.83877056658,2.3402277008,-2.6597722992,7.3402277008,6.1767204066
1999-11-13,0.24977241018,25.9082550649,20.9082550649,30.9082550649,7.0135999944
1999-11-14,0.21878949258,27.7866140474,22.7866140474,32.7866140474,3.4567030806
1999-11-15,0.47813890644,4.7504738625,-0.2495261375,9.7504738625,6.6679197836
1999-11-16,0.74426253651,22.8428890929,17.8428890929,27.8428890929,7.5168571791
1999-11-17,0.67687351443,15.0634291768,10.0634291768,20.0634291768,6.7519363593
1999-11-18,0.19712125197,13.7559649535,8.7559649535,18.7559649535,4.7724106787
1999-11-19,0.33537490065,25.8121244702,20.8121244702,30.8121244702,6.8852989755
1999-11-20,0.71191058085,4.0911221411,-0.9088778589,9.0911221411,4.6404369089
1999-11-21,0.25702703388,3.0642170459,-1.9357829541,8.0642170459,6.4897301486
1999-11-22,0.68151458115,28.8084628712,23.8084628712,33.8084628712,5.1704127139
1999-11-23,0.09544982427,10.3396145441,5.3396145441,15.3396145441,6.9190524886
1999-11-24,0.04398713946,26.8784189317,21.8784189317,31.8784189317,5.4761956779
1999-11-25,0.733502043,21.7169646081,16.7169646081,26.7169646081,5.1474549023
1999-11-26,0.13297688235,16.1316744797,11.1316744797,21.1316744797,4.2104216497
1999-11-27,0.45454100985,9.0574776288,4.0574776288,14.0574776288,4.6480838554
1999-11-28,0.29409764013,22.9566943366,17.9566943366,27.9566943366,5.6013182895
1999-11-29,0.66499119747,5.7316668052,0.7316668052,10.7316668052,3.4745398473
1999-11-30,0.79781331519,34.9002951849,29.9002951849,39.9002951849,3.9653870214
1999-12-01,0.53220783168,10.6560814194,5.6560814194,15.6560814194,6.0345153448
1999-12-02,0.76367843424,4.5039036218,-0.4960963782,9.5039036218,4.6573273856
1999-12-03,0.79781331519,34.9002951849,29.9002951849,39.9002951849,3.9653870214
1999-12-04,0.03464217675,12.7587425709,7.7587425709,17.7587425709,5.3209927045
1999-12-05,0.1172259936,13.4312987793,8.4312987793,18.4312987793,5.1254978969
1999-12-06,0.85662036666,14.2274234816,9.2274234816,19.2274234816,5.2830569651
1999-12-07,0.10764573228,25.4700142611,20.4700142611,30.4700142611,5.8448320646
1999-12-08,0.1915491618,33.8625928946,28.8625928946,38.8625928946,5.455374354
1999-12-09,0.76993313733,12.2415054776,7.2415054776,17.2415054776,6.7268913467
1999-12-10,0.708986007,10.0487828907,5.0487828907,15.0487828907,6.6953215965
1999-12-11,0.75308280129,17.7709516883,12.7709516883,22.7709516883,6.1554671389
1999-12-12,0.0181661193,19.2070544139,14.2070544139,24.2070544139,6.526633163
1999-12-13,0.38829715146,4.329072237,-0.670927763,9.329072237,5.2131935402
1999-12-14,0.73157044122,31.4047237858,26.4047237858,36.4047237858,5.216354413
1999-12-15,0.2420072361,2.8810684383,-2.1189315617,7.8810684383,7.9515708687
1999-12-16,0.0822559266,28.6024903599,23.6024903599,33.6024903599,4.615010536
1999-12-17,0.30692279106,4.5603914466,-0.4396085534,9.5603914466,6.2326829608
1999-12-18,0.45659188782,20.7354416978,15.7354416978,25.7354416978,5.173511982
1999-12-19,0.74763606582,3.8227355108,-1.1772644892,8.8227355108,5.0615208126
1999-12-20,0.78387197643,31.0821556672,26.0821556672,36.0821556672,3.6707456138
1999-12-21,0.24478164396,37.3511508945,32.3511508945,42.3511508945,4.0459968622
1999-12-22,0.48215562444,14.4138471782,9.4138471782,19.4138471782,5.5896271551
1999-12-23,0.24046328007,6.5689863171,1.5689863171,11.5689863171,6.2279715315
1999-12-24,0.8192825424,4.3798725028,-0.6201274972,9.3798725028,6.4023205074
1999-12-25,0.46228692393,22.4620969035,17.4620969035,27.4620969035,6.8350190187
1999-12-26,0.84067260606,2.2669364791,-2.7330635209,7.2669364791,6.4349675372
1999-12-27,0.25201738179,8.4968775325,3.4968775325,13.4968775325,6.1059438514
1999-12-28,0.03577622526,3.3621060569,-1.6378939431,8.3621060569,3.2734772244
1999-12-29,0.81024778368,10.8946635108,5.8946635108,15.8946635108,4.6658789117
1999-12-30,0.40188381453,29.2466130201,24.2466130201,34.2466130201,7.3890402571
1999-12-31,0.07840178487,30.1325284783,25.1325284783,35.1325284783,4.7124710593
2000-01-01,0.05985548784,0.5620548781,-4.4379451219,5.5620548781,6.588483159
2000-01-02,0.82711326204,9.2751425691,4.2751425691,14.2751425691,6.7898822781
2000-01-03,0.82468958697,3.3242713101,-1.6757286899,8.3242713101,4.4263013389
2000-01-04,0.15068320272,13.1461630668,8.1461630668,18.1461630668,3.7563130977
2000-01-05,0.23183369649,12.8169253189,7.8169253189,17.8169253189,6.2554030791
2000-01-06,0.31496647563,28.407289125,23.407289125,33.407289125,4.9235289947
2000-01-07,0.77654427795,35.6564979162,30.6564979162,40.6564979162,5.7690331091
2000-01-08,0.81521286327,0.9327729791,-4.0672270209,5.9327729791,7.4061195955
2000-01-09,0.20487977622,38.8318383228,33.8318383228,43.8318383228,7.0970818349
2000-01-10,0.73674529074,38.2927006762,33.2927006762,43.2927006762,5.1624872112
2000-01-11,0.81521286327,0.9327729791,-4.0672270209,5.9327729791,7.4061195955
2000-01-12,0.70384385133,31.5579889435,26.5579889435,36.5579889435,4.1088271358
2000-01-13,0.86574772566,2.2147239279,-2.7852760721,7.2147239279,3.1479624154
2000-01-14,0.20487977622,38.8318383228,33.8318383228,43.8318383228,7.0970818349
2000-01-15,0.72737178354,27.8704888187,22.8704888187,32.8704888187,3.2732660156
2000-01-16,0.09157208634,29.9181455933,24.9181455933,34.9181455933,6.7833329802
2000-01-17,0.14437435986,19.061271837,14.061271837,24.061271837,4.4974335174
2000-01-18,0.27305252703,3.4184559621,-1.5815440379,8.4184559621,6.1573799753
2000-01-19,0.76239180495,18.4960193653,13.4960193653,23.4960193653,3.6486786669
2000-01-20,0.30541327335,25.0218943413,20.0218943413,30.0218943413,7.0877326974
2000-01-21,0.74748914946,15.9622805286,10.9622805286,20.9622805286,4.361847329
2000-01-22,0.89678286063,39.8422200885,34.8422200885,44.8422200885,7.9451839807
2000-01-23,0.11932766298,14.7565548122,9.7565548122,19.7565548122,7.3379115139
2000-01-24,0.03688103484,18.9927380532,13.9927380532,23.9927380532,7.8581564054
2000-01-25,0.85865317092,20.1412550267,15.1412550267,25.1412550267,7.5392932289
2000-01-26,0.03500022861,39.0516749676,34.0516749676,44.0516749676,3.4686830076
2000-01-27,0.26669226933,19.2762397043,14.2762397043,24.2762397043,7.1403084865
2000-01-28,0.85865317092,20.1412550267,15.1412550267,25.1412550267,7.5392932289
2000-01-29,0.23922745587,35.4314049054,30.4314049054,40.4314049054,3.2547370491
2000-01-30,0.25147041669,32.1648726985,27.1648726985,37.1648726985,3.5431171099
2000-01-31,0.5233169412,35.0504629873,30.0504629873,40.0504629873,6.9344405336
2000-02-01,0.1809280422,29.0708894189,24.0708894189,34.0708894189,7.9611523305
2000-02-02,0.39033758745,28.160335971,23.160335971,33.160335971,3.4110585153
2000-02-03,0.81764815923,28.7737986818,23.7737986818,33.7737986818,5.7101120551
2000-02-04,0.87029239878,17.2050220054,12.2050220054,22.2050220054,4.4664497168
2000-02-05,0.45176092236,8.2328565978,3.2328565978,13.2328565978,3.572222101
2000-02-06,0.8346764088,4.1603078879,-0.8396921121,9.1603078879,4.7993422528
2000-02-07,0.63591204627,12.9611423984,7.9611423984,17.9611423984,6.8365495438
2000-02-08,0.11270543796,22.4241074175,17.4241074175,27.4241074175,4.3234902686
2000-02-09,0.54388745388,6.8468234316,1.8468234316,11.8468234316,4.206511443
2000-02-10,0.87815504808,6.3093187008,1.3093187008,11.3093187008,3.7422070787
2000-02-11,0.73452478401,33.0558472499,28.0558472499,38.0558472499,4.206011686
2000-02-12,0.05408523558,14.3368356861,9.3368356861,19.3368356861,3.9028121061
2000-02-13,0.03126393576,4.3175415043,-0.6824584957,9.3175415043,4.5730955708
2000-02-14,0.81034440894,33.9344686922,28.9344686922,38.9344686922,7.7044662957
2000-02-15,0.87388293582,39.698130805,34.698130805,44.698130805,4.6335135768
2000-02-16,0.56234263941,9.1646446846,4.1646446846,14.1646446846,3.7258776273
2000-02-17,0.72578706399,31.2514185347,26.2514185347,36.2514185347,7.4461726106
2000-02-18,0.44259695748,4.2815419845,-0.7184580155,9.2815419845,7.7322477028
2000-02-19,0.72578706399,31.2514185347,26.2514185347,36.2514185347,7.4461726106
2000-02-20,0.1680248313,1.2252235133,-3.7747764867,6.2252235133,4.7913873855
